0,85,48,74,74,84,10,78,20,69,15,50,70,17,23,83,84,61,47,37
38,0,78,65,85,77,78,30,76,12,29,33,34,13,37,41,73,42,89,50
65,13,0,78,60,95,74,36,94,36,73,11,15,38,29,25,59,24,25,76
24,34,18,0,93,46,58,97,89,49,64,72,81,40,46,19,95,99,96,72
55,22,21,16,0,99,96,45,12,37,21,88,38,48,26,15,94,76,42,12
60,99,82,14,52,0,93,60,75,33,21,31,49,66,21,49,16,62,94,47
92,83,15,40,24,13,0,94,50,99,88,93,56,47,20,52,44,60,94,41
11,27,87,97,68,19,85,0,65,91,90,99,60,50,12,85,37,59,28,96
11,87,83,80,13,69,78,89,0,93,37,65,70,82,27,75,98,36,89,41
48,88,66,21,38,67,29,22,15,0,62,100,81,56,13,17,62,75,36,68
44,57,45,44,59,72,48,27,89,63,0,87,43,13,54,72,23,13,16,38
76,40,99,52,82,79,96,39,53,52,25,0,31,39,24,100,73,82,19,86
64,55,89,57,21,68,100,77,48,41,58,25,0,13,62,99,12,70,46,14
83,34,44,71,81,68,56,46,75,38,50,98,61,0,18,63,51,74,70,56
13,80,36,100,32,69,95,74,58,78,17,27,13,81,0,76,66,44,91,45
70,55,19,87,51,35,14,54,88,35,81,98,61,43,69,0,95,50,69,63
13,28,87,36,39,46,89,31,15,62,82,78,62,60,19,79,0,61,32,70
69,39,21,20,79,74,67,98,15,88,60,35,51,27,62,44,38,0,65,19
79,67,12,55,87,33,36,92,50,25,25,92,54,16,75,65,38,26,0,47
26,24,99,47,95,94,98,100,60,89,83,33,18,17,35,31,40,44,10,0
