0,208,433,254,404,442,317,191,468,154,159,78,489,344,256,306,178,22,421,365,447,52,447,28,176,279,442,227,214,88,303,32,500,132,69,300,32,468,179,449,148,445,274,46,164,344,47,453,118,37
208,0,303,148,436,491,335,171,312,419,346,285,364,66,110,73,419,412,42,53,76,426,490,82,181,500,131,263,441,143,224,69,52,310,433,238,232,224,251,465,155,347,167,368,450,268,226,287,471,242
433,303,0,196,276,138,101,54,242,22,436,435,435,494,370,495,267,430,185,229,279,309,477,170,97,116,264,191,274,296,120,125,375,301,486,171,135,348,172,54,167,244,179,210,174,396,244,287,69,308
254,148,196,0,271,314,383,186,385,266,343,60,92,395,154,279,82,112,355,93,242,198,345,447,329,174,172,169,236,276,194,415,36,193,403,447,495,80,406,45,213,109,372,89,331,36,429,236,301,341
404,436,276,271,0,68,375,443,97,227,181,441,378,295,384,492,108,139,402,475,82,247,350,108,151,487,364,202,349,470,299,197,373,202,124,449,383,466,217,275,444,128,165,127,465,301,193,105,286,105
442,491,138,314,68,0,453,119,435,346,496,193,493,93,366,426,478,216,466,440,357,357,68,341,99,222,341,489,467,456,95,42,399,306,274,314,30,375,111,407,448,154,183,313,177,338,349,224,121,419
317,335,101,383,375,453,0,141,462,322,421,192,135,158,359,244,130,128,430,375,493,350,333,180,339,172,484,125,400,496,247,45,297,225,221,34,360,129,195,132,179,245,273,496,480,472,294,180,287,30
191,171,54,186,443,119,141,0,364,311,124,409,466,195,281,216,281,446,104,131,233,499,458,302,274,306,217,176,333,491,119,173,409,482,330,333,73,349,335,474,15,207,102,403,253,154,424,80,405,404
468,312,242,385,97,435,462,364,0,214,412,23,355,491,380,402,123,119,297,374,275,381,330,346,56,70,268,358,75,29,408,38,493,360,213,147,373,285,71,491,306,95,349,47,494,426,80,225,302,408
154,419,22,266,227,346,322,311,214,0,104,254,354,240,93,15,188,93,387,48,185,193,429,225,316,383,426,500,325,136,16,49,24,119,286,236,436,334,79,411,325,121,120,25,46,128,22,436,218,142
